order_id,customer_id,order_date,product,category,quantity,unit_price,status
3001,1,2026-08-28,Ноутбук, Tech ,1,72000,paid
3002,2,2026-08-29,Книга,Books,2,850,paid
3003,3,2026-08-29,Блокнот, office,3,320,paid
3004,1,2026-08-30,Мышь,TECH,1,1800,paid
3005,4,2026-08-31,Лампа,Home ,2,2400,cancelled
3006,5,2026-09-01,Наушники, tech,1,4900,paid
3007,6,2026-09-01,Ручка,Office,10,120,paid
3008,7,2026-09-02,Книга, books ,1,1200,paid
3009,8,2026-09-02,Стул,HOME,1,6800,paid
3010,2,2026-09-03,Монитор,Tech,1,24500,paid
3011,3,2026-09-03,Книга,Books,3,990,cancelled
3012,4,2026-09-04,Тетрадь,office ,5,180,paid
3013,5,2026-09-04,Клавиатура,TECH,1,4200,paid
3014,6,2026-09-05,Лампа, home,1,2100,paid
3015,7,2026-09-05,Книга,BOOKS,2,760,paid
3016,8,2026-09-06,Блокнот, Office ,4,350,paid
3017,1,2026-09-06,Наушники,Tech,1,5300,paid
3018,2,2026-09-07,Стол,HOME,1,12500,paid
3019,3,2026-09-07,Ручка,office,12,95,paid
3020,4,2026-09-08,Книга, books,1,1500,paid
3021,5,2026-09-08,Ноутбук,TECH ,1,68000,cancelled
3022,6,2026-09-09,Лампа,Home,2,1900,paid
3023,7,2026-09-09,Монитор, tech ,1,21800,paid
3024,8,2026-09-10,Тетрадь,OFFICE,6,160,paid
